"x" "y" "altitude"
"205074" -48.5483996522109 -1.2698890696175 10
"350482" -48.4492078328053 -1.38542852308517 11
"448882" -48.4275801908126 -1.49258992181844 9
"42988" -48.3284715901173 -1.13421518656364 15
"332993" -48.3480726976075 -1.37065390043587 8
"261026" -48.2400594332217 -1.31174536489797 35
"121022" -48.4090180659137 -1.19950682007041 16
"173021" -48.2370787462838 -1.24499745815619 33
"446990" -48.4107937835184 -1.48928824707707 10
"150098" -48.3217250553879 -1.22553541704093 17
"164593" -48.2537336484942 -1.23775396125996 23
"2480" -48.3696849337861 -1.07122518746394 6
"99312" -48.4094516425151 -1.18093340161818 23
"246226" -48.3679877947661 -1.3010847167795 17
"449431" -48.4321583330175 -1.49350306724224 12
"441036" -48.4915773552917 -1.46982969344909 4
"193590" -48.4361532102225 -1.26140007071696 29
"364518" -48.3692730187715 -1.39623306959742 21
"131885" -48.3847279918581 -1.20995730850581 31
"386327" -48.4038493024844 -1.41386793449785 22
"2716" -48.3687594036844 -1.0719691787035 6
"48040" -48.2546981166088 -1.13917252089349 21
"6225" -48.3351789310134 -1.08031860758244 16
"174314" -48.2057255950045 -1.24608121440706 39
"273390" -48.3052078454131 -1.32191757290225 13
"416848" -48.3310681328078 -1.43892072371019 20
"93492" -48.2329871800892 -1.17573536040649 31
